ID|VOLTAGE|STANDARD DEVIATION 
1|15.000000|0.000000|
3|14.788415|0.000000|
11|14.787574|0.000000|
12|14.783547|0.000000|
13|14.779889|0.000000|
14|14.780465|0.000000|
100|0.375259|0.000000|
101|0.373974|0.000000|
102|0.372543|0.000000|
103|0.367462|0.000000|
104|0.363591|0.000000|
105|0.364632|0.000000|
106|0.362969|0.000000|
107|0.371752|0.000000|
200|0.374124|0.000000|
201|0.365284|0.000000|
202|0.359479|0.000000|
203|0.370950|0.000000|
204|0.367573|0.000000|
205|0.366566|0.000000|
206|0.363689|0.000000|
207|0.368865|0.000000|
208|0.366401|0.000000|
209|0.358996|0.000000|
210|0.358187|0.000000|
211|0.358591|0.000000|
300|0.374012|0.000000|
301|0.369315|0.000000|
302|0.366216|0.000000|
303|0.369784|0.000000|
304|0.366571|0.000000|
305|0.365064|0.000000|
306|0.363930|0.000000|
307|0.364381|0.000000|
400|0.373805|0.000000|
401|0.368796|0.000000|
402|0.371157|0.000000|
403|0.372588|0.000000|
404|0.370077|0.000000|
405|0.366310|0.000000|
406|0.365512|0.000000|
407|0.367571|0.000000|
